icode,Mment,IndentQty,ProductionQty,DespatchQty,BalanceQty,IndentValue,ProductionValue,DespatchValue,BalanceValue,sno
21613,KGS,23831,0,0,23831,23831000,0,0,23831000,1
8858,PICES,18565,0,0,18565,377612,0,0,377612,2
2188,NOS,8785,1666,1627,7158,509881,96695,94431,415450,3
2189,NOS,7629,1473,1490,6139,442787,85493,86480,356308,4
22219,NOS,6302,0,2171,4131,534536,0,184144,350391,5
309,NOS,3769,50,50,3719,376900,5000,5000,371900,6
20699,NOS,6547,3849,3606,2941,672246,395215,370264,301982,7
21013,NOS,3020,0,203,2817,215719,0,14500,201218,8
22957,NOS,3136,0,564,2572,154009,0,27698,126311,9
246,NOS,2859,332,292,2567,367582,42685,37542,330039,10
8584,NOS,4760,3014,2824,1936,637507,403665,378218,259288,11
23206,NOS,2118,0,293,1825,191001,0,26423,164579,12
300,NOS,3502,1700,1705,1797,350200,170000,170500,179700,13
239,NOS,3838,0,2168,1670,127921,0,72259,55661,14
2,NOS,1639,0,0,1639,1061433,0,0,1061433,15
344,NOS,1568,0,0,1568,49000,0,0,49000,16
24302,NOS,2523,0,1123,1400,135157,0,60159,74998,17
8646,NOS,2022,630,623,1399,191362,59623,58961,132401,18
7315,NOS,1640,353,313,1327,203048,43705,38753,164296,19
20761,NOS,8982,0,7660,1322,1026553,0,875461,151091,20
20759,NOS,2268,0,949,1319,115328,0,48257,67071,21
23210,NOS,1245,0,0,1245,138954,0,0,138954,22
22960,NOS,2036,0,846,1190,63625,0,26438,37188,23
256,NOS,2016,1173,863,1153,211196,122883,90408,120788,24
21,KGS,1303,206,206,1097,843901,133265,133285,710616,25
8572,NOS,4610,3081,3525,1085,473355,316357,361947,111408,26
40217,NOS,1085,750,200,885,58134,40185,10716,47418,27
40218,NOS,1070,750,185,885,57331,40185,9912,47418,28
8569,NOS,4362,0,3494,868,545250,0,436750,108500,29
30,KGS,1760,921,905,855,1139794,596740,586029,553765,30
2176,NOS,6411,4816,5561,850,658281,494507,571003,87278,31
2177,NOS,1257,444,412,845,538712,190285,176571,362142,32
24325,NOS,4098,0,3254,844,384188,0,305063,79125,33
8714,NOS,960,156,141,819,109718,17829,16115,93604,34
23300,KGS,749,0,0,749,992425,0,0,992425,35
8631,NOS,1959,0,1221,738,96206,0,59963,36243,36
40219,NOS,870,750,160,710,46615,40185,8573,38042,37
34,KGS,706,58,57,649,470529,38973,38180,432349,38
1876,KGS,739,105,94,645,668618,95362,84912,583706,39
23301,KGS,642,0,0,642,849988,0,0,849988,40
20731,KGS,715,89,88,627,1089994,135024,133697,956297,41
1183,KGS,1306,725,718,588,547840,304101,301255,246585,42
23048,NOS,824,0,255,569,36783,0,11383,25400,43
22220,NOS,3680,0,3152,528,312138,0,267353,44785,44
21674,NOS,1360,0,833,527,115355,0,70655,44700,45
22260,NOS,3578,0,3056,522,303486,0,259210,44276,46
2179,NOS,1041,558,561,480,176595,94659,95168,81427,47
19,KGS,1785,1334,1331,454,1155854,863730,861820,294034,48
56,KGS,1775,1382,1379,396,1115523,868564,866660,248863,49
8455,NOS,420,0,27,393,71186,0,4576,66610,50
338,NOS,995,550,604,391,31094,17188,18875,12219,51
41,KGS,810,442,430,380,493608,269548,262283,231325,52
8643,NOS,1323,0,960,363,59059,0,42854,16204,53
20696,NOS,3087,2214,2737,350,330741,237208,293242,37499,54
310,KGS,2587,2252,2236,350,1675043,1458709,1448218,226825,55
8800,KGS,562,243,237,324,744186,322147,314303,429883,56
2182,NOS,629,374,306,323,269571,160285,131142,138428,57
22216,NOS,1961,0,1654,307,0,0,0,0,58
55,KGS,2025,1736,1728,297,1272603,1091386,1086188,186415,59
470,NOS,1438,0,1146,292,256784,0,204641,52142,60
92,KGS,534,247,242,291,707219,327712,321246,385973,61
398,KGS,912,596,623,289,411212,268771,280738,130474,62
22258,NOS,7871,690,7607,264,667618,58526,645226,22392,63
22248,NOS,1537,0,1276,261,144094,0,119625,24469,64
22961,NOS,1444,0,1183,261,45125,0,36969,8156,65
1443,NOS,493,299,235,258,222289,134816,105959,116330,66
8019,NOS,380,0,123,257,67857,0,21964,45892,67
59,KGS,873,627,623,249,548427,394107,391756,156671,68
21990,NOS,671,0,427,244,134797,0,85780,49017,69
1191,NOS,943,0,701,242,168392,0,125178,43214,70
401,NOS,233,3,0,233,37723,486,0,37723,71
2103,NOS,6254,5903,6023,231,642161,606120,618442,23719,72
242,KGS,1361,1149,1142,219,881203,743825,739415,141788,73
105,KGS,1666,1473,1449,217,639627,565460,556468,83159,74
24466,NOS,637,0,427,210,31283,0,20970,10313,75
2181,NOS,629,429,420,209,106704,72776,71249,35455,76
84,KGS,731,527,526,204,473079,341426,340844,132236,77
23204,NOS,4591,0,4391,200,389409,0,372445,16964,78
7530,KGS,477,287,285,192,632158,380050,377400,254758,79
81,KGS,590,402,399,191,782015,532451,529218,252797,80
237,NOS,597,0,412,185,32978,0,22759,10219,81
63,KGS,184,0,0,184,118836,0,0,118836,82
334,NOS,771,629,596,175,24094,19656,18625,5469,83
62,KGS,611,451,447,164,395755,292202,289702,106053,84
8913,NOS,1197,0,1034,163,142012,0,122674,19338,85
33,KGS,1252,1097,1092,160,834592,731146,728119,106472,86
20808,KGS,397,242,240,156,279437,170284,169276,110161,87
2185,NOS,3521,3733,3366,155,361536,383304,345621,15915,88
243,KGS,453,311,302,151,302164,207331,201391,100772,89
22893,KGS,222,77,71,151,243650,84865,77550,166100,90
21612,KGS,270,159,119,151,270000,159200,119380,150620,91
77,KGS,987,837,836,150,1307245,1108800,1108111,199134,92
248,NOS,1370,1065,1229,141,143521,111569,128750,14771,93
20424,KGS,135,0,0,135,178875,0,0,178875,94
473,NOS,459,0,325,134,77796,0,55084,22712,95
20418,KGS,356,229,227,129,230711,147998,146910,83801,96
21626,KGS,135,0,7,128,135000,0,7190,127810,97
1266,KGS,447,330,319,128,592275,437462,422662,169613,98
1442,NOS,382,282,255,127,68214,50357,45535,22678,99
21012,NOS,761,0,634,127,45143,0,37609,7534,100
89,KGS,123,0,0,123,162313,0,0,162313,101
8715,NOS,122,0,0,122,13943,0,0,13943,102
79,KGS,405,283,285,120,536691,374631,377175,159517,103
21627,KGS,128,0,8,119,140250,0,9328,130922,104
20805,KGS,318,202,200,117,224008,142665,141248,82760,105
8716,NOS,117,0,0,117,14486,0,0,14486,106
223,KGS,116,0,0,116,74799,0,0,74799,107
24158,KGS,145,90,30,115,51785,32143,10714,41071,108
1962,KGS,335,224,224,110,216852,145311,145343,71509,109
22924,NOS,525,0,416,109,23436,0,18570,4866,110
82,KGS,107,0,0,107,141113,0,0,141113,111
22825,KGS,165,66,60,105,165000,65710,60350,104650,112
1227,KGS,737,634,634,103,463539,398583,398601,64938,113
8926,NOS,795,0,692,103,33684,0,29320,4364,114
8707,NOS,100,0,0,100,0,0,0,0,115
402,NOS,100,12,0,100,32381,3886,0,32381,116
8713,NOS,98,0,0,98,47040,0,0,47040,117
8918,NOS,163,0,67,96,23483,0,9653,13831,118
43,KGS,332,244,239,93,439569,323101,316781,122788,119
574,KGS,581,493,490,91,376261,319589,317355,58907,120
24465,NOS,90,0,0,90,0,0,0,0,121
22826,KGS,140,60,55,85,140000,59550,54980,85020,122
23356,KGS,84,0,0,84,71400,0,0,71400,123
20155,KGS,115,95,31,84,41071,33839,11071,30000,124
388,KGS,363,280,280,83,480975,371106,371212,109763,125
285,KGS,82,0,0,82,47642,0,0,47642,126
23354,KGS,82,0,0,82,69700,0,0,69700,127
23355,KGS,81,0,0,81,68850,0,0,68850,128
23049,NOS,710,0,630,80,31694,0,28123,3571,129
8921,NOS,362,0,283,79,14726,0,11512,3214,130
8564,NOS,738,0,663,75,39535,0,35517,4018,131
1269,KGS,74,2,2,72,47599,1237,1237,46362,132
24471,NOS,614,0,542,72,32892,0,29035,3857,133
57,KGS,561,493,491,70,352754,309766,308640,44113,134
22505,KGS,101,55,34,67,133825,73061,45673,88152,135
7533,KGS,66,3,0,66,100650,4514,0,100650,136
60,KGS,574,511,509,65,360862,321193,320231,40631,137
23264,NOS,63,0,0,63,0,0,0,0,138
24640,KGS,61,0,0,61,76976,0,0,76976,139
71,KGS,176,117,115,61,114141,75621,74780,39362,140
20757,NOS,231,0,170,61,11746,0,8645,3102,141
24405,NOS,60,0,0,60,12857,0,0,12857,142
20150,KGS,99,51,41,58,118800,60948,49728,69072,143
392,KGS,142,89,85,57,100252,62611,59954,40298,144
7,KGS,716,657,659,57,463495,425227,426581,36914,145
233,KGS,595,543,540,55,373968,341163,339667,34301,146
137,NOS,55,0,0,55,3300,0,0,3300,147
228,KGS,177,127,123,54,111100,79514,77295,33805,148
20497,KGS,54,0,0,54,22680,0,0,22680,149
123,KGS,54,743,3,51,22680,312127,1365,21315,150
58,KGS,580,531,529,51,364853,333890,332633,32221,151
247,NOS,492,0,447,45,100742,0,91528,9214,152
232,KGS,142,102,97,44,91799,65778,63051,28747,153
22,KGS,116,101,71,44,74799,65396,46252,28547,154
24404,NOS,42,0,0,42,9000,0,0,9000,155
104,KGS,41,0,0,41,19768,0,0,19768,156
24316,NOS,2600,0,2560,40,197314,0,194278,3036,157
53,KGS,142,111,104,39,188481,147632,137456,51026,158
